contract,date,prev_close,prev_settlement,open,high,low,close,settlement,price_change,settlement_change,volume,turnover,open_interest,Unnamed: 14
al2401,2023-08-22,18045,18025,18025,18230,18000,18165,18090,140,65,5089,46031.085,19026,
al2407,2023-08-22,18210,18210,18210,18280,18210,18260,18235,50,25,9,82.065,120,
al2401,2023-08-23,18165,18090,18215,18305,18210,18290,18255,200,165,4372,39909.7025,19790,
al2407,2023-08-23,18260,18235,18305,18370,18290,18335,18320,100,85,28,256.5175,127,
al2401,2023-08-24,18290,18255,18265,18345,18230,18265,18285,10,30,3162,28909.0925,20124,
al2407,2023-08-24,18335,18320,18350,18375,18315,18375,18330,55,10,9,82.505,130,
al2401,2023-08-25,18265,18285,18250,18280,18210,18245,18240,-40,-45,2306,21036.41,20503,
al2407,2023-08-25,18375,18330,18275,18295,18275,18295,18285,-35,-45,2,18.285,132,
al2407,2023-08-28,18295,18285,18265,18265,18265,18265,18265,-20,-20,1,9.1325,132,
al2401,2023-08-28,18245,18240,18270,18290,18175,18225,18220,-15,-20,3502,31907.995,21590,
al2401,2023-08-29,18225,18220,18005,18425,18005,18370,18325,150,105,4447,40750.3,22301,
al2407,2023-08-29,18265,18265,18285,18365,18245,18365,18280,100,15,9,82.2725,134,
al2401,2023-08-30,18370,18325,18330,18420,18295,18400,18360,75,35,5353,49146.5775,23305,
al2407,2023-08-30,18365,18280,18345,18445,18315,18410,18380,130,100,35,321.665,157,
al2401,2023-08-31,18400,18360,18430,18625,18425,18600,18545,240,185,6673,61888.985,23655,
al2407,2023-08-31,18410,18380,18530,18630,18530,18630,18555,250,175,22,204.14,158,
al2401,2023-09-01,18600,18545,18630,18995,18570,18910,18825,365,280,9532,89729.83,24146,
al2407,2023-09-01,18630,18555,18615,18940,18610,18840,18805,285,250,14,131.645,162,
al2407,2023-09-04,18840,18805,18800,18800,18535,18575,18630,-230,-175,11,102.485,165,
al2401,2023-09-04,18910,18825,18920,19105,18525,18595,18780,-230,-45,13969,131182.99,25830,
al2401,2023-09-05,18595,18780,18595,18705,18510,18620,18620,-160,-160,8914,82994.7325,26931,
al2407,2023-09-05,18575,18630,18580,18690,18580,18620,18610,-10,-20,11,102.3725,166,
al2401,2023-09-06,18620,18620,18625,18830,18620,18775,18695,155,75,8071,75444.7725,28668,
al2407,2023-09-06,18620,18610,18675,18800,18675,18800,18715,190,105,10,93.5975,170,
al2401,2023-09-07,18775,18695,18805,18865,18700,18785,18785,90,90,7082,66519.5925,29228,
